target	seed	rval	voxel
R.Nac	9/46d	0.335146 	 25,82,56
R.Nac	44v	0.443287 	 18,72,39
R.Nac	SMA	0.372448 	 43,60,67
R.Nac	8m 	0.514312 	 47,81,64
R.Nac	M1	0.317350 	 66,54,60
R.Nac	S1	0.416539 	 68,47,64
R.Nac	ParOp	0.309839 	 72,47,47
R.Nac	aIPS	0.517815 	 73,50,59
R.Nac	pIPL	0.511328 	 62,39,58
R.Nac	pIPL	0.298760 	 54,25,59
R.Nac	23ab	0.356356 	 45,54,53
R.Nac	rsplC	0.394411 	 50,38,42
R.Nac	latocc	0.387647 	 74,32,32
R.Nac	perirhinal	0.194848 	 68,63,18
R.Nac	temPol	0.328989 	 66,69,19
R.Nac	ventrStr	0.444488 	 51,67,30
R.Nac	Caud	0.188510 	 52,68,44
R.Nac	put	0.405805 	 31,65,33
R.Nac	hippoc	0.410441 	 58,52,27
R.Nac	amygd	0.477001 	 57,61,28
R.Nac	hypoth	0.465509 	 47,62,29
R.Nac	VTA	0.281034 	 44,52,27
