target	seed	rval	voxel
R.Nac	9/46d	0.269812 	 23,80,55
R.Nac	44v	0.282696 	 20,74,41
R.Nac	SMA	0.239891 	 43,60,67
R.Nac	8m 	0.265374 	 48,82,63
R.Nac	M1	0.199808 	 66,55,59
R.Nac	S1	0.341116 	 67,49,66
R.Nac	ParOp	0.192244 	 70,49,48
R.Nac	aIPS	0.228602 	 74,52,59
R.Nac	pIPL	0.351496 	 63,39,58
R.Nac	pIPL	0.320430 	 55,24,58
R.Nac	23ab	0.409231 	 47,54,53
R.Nac	rsplC	0.430374 	 48,38,40
R.Nac	latocc	0.284639 	 72,34,32
R.Nac	perirhinal	0.259930 	 67,64,18
R.Nac	temPol	0.378113 	 68,70,19
R.Nac	ventrStr	0.585342 	 52,67,30
R.Nac	Caud	0.310984 	 53,67,45
R.Nac	put	0.266997 	 32,67,32
R.Nac	hippoc	0.323295 	 57,52,29
R.Nac	amygd	0.353823 	 56,60,27
R.Nac	hypoth	0.463369 	 47,63,31
R.Nac	VTA	0.482451 	 44,54,27
