      1.0000	      0.2886	      0.2767	      0.2582	      0.3928	      0.1630	      0.0913	      0.0405	      0.1063	      0.2977	     -0.0893	      0.0787	      0.0316	     -0.0267	      0.0386	      0.1423	      0.2502	      0.1048	      0.1698	      0.1033	      0.1508	      0.1425	      0.2422	      0.1840
      0.2886	      1.0000	     -0.0364	     -0.0164	      0.0695	      0.0738	      0.1526	      0.0274	      0.1453	      0.1642	     -0.3025	     -0.0793	     -0.4678	     -0.3982	     -0.0462	     -0.1943	     -0.0031	     -0.0818	      0.5402	      0.1985	     -0.0713	     -0.1099	      0.4957	      0.2450
      0.2767	     -0.0364	      1.0000	      0.4337	      0.3129	     -0.0427	      0.0249	      0.4419	      0.1793	      0.3350	      0.0003	      0.0997	     -0.0040	      0.0587	      0.2345	      0.1882	     -0.0763	      0.0951	      0.2602	      0.2423	      0.1139	      0.1365	      0.0072	      0.0788
      0.2582	     -0.0164	      0.4337	      1.0000	      0.3888	      0.1439	      0.1228	      0.2468	      0.0419	      0.2819	      0.0009	     -0.0705	     -0.0539	      0.0289	     -0.1154	      0.1344	     -0.0790	      0.0537	      0.1380	      0.2729	     -0.0828	      0.0020	      0.0528	      0.0220
      0.3928	      0.0695	      0.3129	      0.3888	      1.0000	      0.2255	      0.0816	      0.3314	      0.4429	      0.5279	     -0.0032	      0.1429	      0.0841	      0.2435	      0.0679	      0.0464	      0.1724	      0.3183	      0.2017	      0.0321	      0.0520	      0.1700	      0.0395	     -0.0130
      0.1630	      0.0738	     -0.0427	      0.1439	      0.2255	      1.0000	     -0.0743	      0.0285	     -0.1277	      0.1295	     -0.0106	     -0.0692	      0.1526	      0.0871	      0.0737	      0.1083	      0.1627	      0.0013	     -0.1692	      0.0162	      0.2952	      0.1459	     -0.0815	      0.1939
      0.0913	      0.1526	      0.0249	      0.1228	      0.0816	     -0.0743	      1.0000	      0.1465	      0.2659	      0.1997	     -0.2430	     -0.0538	     -0.2648	     -0.2091	     -0.2146	     -0.3065	      0.1126	     -0.0049	      0.3339	      0.0980	     -0.1097	     -0.0884	      0.3369	      0.0599
      0.0405	      0.0274	      0.4419	      0.2468	      0.3314	      0.0285	      0.1465	      1.0000	      0.4113	      0.3167	     -0.0625	      0.1174	     -0.0561	     -0.0545	      0.0891	      0.0040	      0.0750	     -0.0489	      0.2491	      0.1280	     -0.0309	      0.0918	     -0.0910	     -0.0452
      0.1063	      0.1453	      0.1793	      0.0419	      0.4429	     -0.1277	      0.2659	      0.4113	      1.0000	      0.5637	     -0.1188	      0.0749	     -0.1215	      0.0219	     -0.0089	     -0.3580	      0.1815	      0.2436	      0.3373	     -0.0685	     -0.1340	      0.0946	      0.1299	     -0.0087
      0.2977	      0.1642	      0.3350	      0.2819	      0.5279	      0.1295	      0.1997	      0.3167	      0.5637	      1.0000	     -0.0205	      0.1560	     -0.0260	     -0.1614	     -0.0268	     -0.0745	      0.2522	      0.2532	      0.3166	     -0.0833	     -0.0989	      0.0144	      0.2049	     -0.0060
     -0.0893	     -0.3025	      0.0003	      0.0009	     -0.0032	     -0.0106	     -0.2430	     -0.0625	     -0.1188	     -0.0205	      1.0000	      0.2103	      0.5857	      0.4015	      0.3635	      0.3943	     -0.0090	      0.1474	     -0.3303	     -0.3104	      0.1787	      0.2974	     -0.2237	      0.0958
      0.0787	     -0.0793	      0.0997	     -0.0705	      0.1429	     -0.0692	     -0.0538	      0.1174	      0.0749	      0.1560	      0.2103	      1.0000	      0.3037	      0.0680	      0.3931	      0.1010	      0.1475	      0.5299	     -0.0714	     -0.3313	      0.2026	      0.2874	      0.1829	      0.0391
      0.0316	     -0.4678	     -0.0040	     -0.0539	      0.0841	      0.1526	     -0.2648	     -0.0561	     -0.1215	     -0.0260	      0.5857	      0.3037	      1.0000	      0.6229	      0.3491	      0.5495	      0.3131	      0.1264	     -0.6344	     -0.4007	      0.5483	      0.6084	     -0.2359	      0.1440
     -0.0267	     -0.3982	      0.0587	      0.0289	      0.2435	      0.0871	     -0.2091	     -0.0545	      0.0219	     -0.1614	      0.4015	      0.0680	      0.6229	      1.0000	      0.2258	      0.4245	     -0.0335	      0.1512	     -0.4114	     -0.0778	      0.3162	      0.3566	     -0.4302	      0.0511
      0.0386	     -0.0462	      0.2345	     -0.1154	      0.0679	      0.0737	     -0.2146	      0.0891	     -0.0089	     -0.0268	      0.3635	      0.3931	      0.3491	      0.2258	      1.0000	      0.3145	     -0.0252	      0.0646	     -0.1391	     -0.1989	      0.3343	      0.4697	     -0.0377	      0.2065
      0.1423	     -0.1943	      0.1882	      0.1344	      0.0464	      0.1083	     -0.3065	      0.0040	     -0.3580	     -0.0745	      0.3943	      0.1010	      0.5495	      0.4245	      0.3145	      1.0000	      0.1850	     -0.0341	     -0.3270	     -0.0053	      0.3824	      0.3770	     -0.2071	      0.2131
      0.2502	     -0.0031	     -0.0763	     -0.0790	      0.1724	      0.1627	      0.1126	      0.0750	      0.1815	      0.2522	     -0.0090	      0.1475	      0.3131	     -0.0335	     -0.0252	      0.1850	      1.0000	      0.0616	     -0.0762	     -0.3009	      0.2616	      0.3940	      0.1095	      0.1594
      0.1048	     -0.0818	      0.0951	      0.0537	      0.3183	      0.0013	     -0.0049	     -0.0489	      0.2436	      0.2532	      0.1474	      0.5299	      0.1264	      0.1512	      0.0646	     -0.0341	      0.0616	      1.0000	      0.0544	     -0.1979	      0.0315	      0.2167	      0.1404	      0.0092
      0.1698	      0.5402	      0.2602	      0.1380	      0.2017	     -0.1692	      0.3339	      0.2491	      0.3373	      0.3166	     -0.3303	     -0.0714	     -0.6344	     -0.4114	     -0.1391	     -0.3270	     -0.0762	      0.0544	      1.0000	      0.2366	     -0.4757	     -0.4472	      0.1931	     -0.1278
      0.1033	      0.1985	      0.2423	      0.2729	      0.0321	      0.0162	      0.0980	      0.1280	     -0.0685	     -0.0833	     -0.3104	     -0.3313	     -0.4007	     -0.0778	     -0.1989	     -0.0053	     -0.3009	     -0.1979	      0.2366	      1.0000	     -0.1656	     -0.2860	      0.0641	      0.1823
      0.1508	     -0.0713	      0.1139	     -0.0828	      0.0520	      0.2952	     -0.1097	     -0.0309	     -0.1340	     -0.0989	      0.1787	      0.2026	      0.5483	      0.3162	      0.3343	      0.3824	      0.2616	      0.0315	     -0.4757	     -0.1656	      1.0000	      0.7608	      0.0947	      0.3065
      0.1425	     -0.1099	      0.1365	      0.0020	      0.1700	      0.1459	     -0.0884	      0.0918	      0.0946	      0.0144	      0.2974	      0.2874	      0.6084	      0.3566	      0.4697	      0.3770	      0.3940	      0.2167	     -0.4472	     -0.2860	      0.7608	      1.0000	      0.1064	      0.3388
