42,36,38
52,20,8
4,-4,60
-4,36,56
-42,-18,48
-44,-30,58
-52,-30,22
-56,-24,44
-34,-48,42
-20,-76,44
-2,-20,36
-8,-48,10
-56,-60,-10
-46,0,-38
-44,12,-32
-14,10,-10
-14,10,16
28,6,-6
-26,-20,-16
-24,-4,-18
-2,-2,-12
0,-20,-16
