-12.75,11.5,9.25
-17,7.5,1.5
-2,-0.5,18
-1.75,16.75,13.25
-13.25,-6.5,16
-12.25,-9.5,18.5
-18,-14.75,12.5
-9.75,-16.75,17.75
-8,-24,16.25
0.25,-8.5,12.75
-2.5,-17,3.75
-21.25,-22.5,1
-16,-3.75,-13.25
-17,4.25,-13.5
-3.5,6.5,-3
-5,8.5,4.75
-10.5,-0.5,1.75
11,-4,-11.25
-9.5,0,-11.75
-1.25,-4,-7
-2.5,-9.75,-6.75
